Name,Type,Background_Detailed,Background_Type,Hair_Detailed,Hair_Simple,Eyes_Detailed,Eyes_Simple,Headwear_Detailed,Headwear_Simple,Accessories,Training_Caption
lad_001_carbon,Male,"RGB(192,97,72) #c06148 to RGB(167,104,87) #a76857",pattern,"RGB(67,75,78) #434b4e and RGB(167,104,87) #a76857","RGB(67,75,78) and RGB(167,104,87)","RGB(178,127,96) #b27f60","RGB(178,127,96)",,,,"24x24 pixel art portrait, background: RGB(192,97,72) #c06148 to RGB(167,104,87) #a76857, hair: RGB(67,75,78) #434b4e and RGB(167,104,87) #a76857, eyes: RGB(178,127,96) #b27f60"
lad_002_cash,Male,"RGB(106,231,69) #6ae745",solid,"RGB(106,231,69) #6ae745 and Lavender #c7dfcf","RGB(106,231,69) and Lavender","RGB(159,183,169) #9fb7a9","RGB(159,183,169)",,,,"24x24 pixel art portrait, background: RGB(106,231,69) #6ae745, hair: RGB(106,231,69) #6ae745 and Lavender #c7dfcf, eyes: RGB(159,183,169) #9fb7a9"
lad_003_chai,Male,Beige #e3b68d,solid,,,"RGB(160,110,93) #a06e5d","RGB(160,110,93)",,,,"24x24 pixel art portrait, background: Beige #e3b68d, eyes: RGB(160,110,93) #a06e5d"
lad_004_silicon,Male,"RGB(186,186,186) #bababa",solid,"RGB(186,186,186) #bababa and RGB(44,44,44) #2c2c2c","RGB(186,186,186) and RGB(44,44,44)","RGB(150,149,149) #969595","RGB(150,149,149)",,,,"24x24 pixel art portrait, background: RGB(186,186,186) #bababa, hair: RGB(186,186,186) #bababa and RGB(44,44,44) #2c2c2c, eyes: RGB(150,149,149) #969595"
lad_005_copper,Male,Grey #876f66,solid,"Grey #876f66 and RGB(30,15,9) #1e0f09","Grey and RGB(30,15,9)","RGB(76,43,25) #4c2b19","RGB(76,43,25)",,,,"24x24 pixel art portrait, background: Grey #876f66, hair: Grey #876f66 and RGB(30,15,9) #1e0f09, eyes: RGB(76,43,25) #4c2b19"
lad_006_redshift,Male,Grey #7d6364,solid,"Grey #7d6364 and RGB(15,38,88) #0f2658","Grey and RGB(15,38,88)","RGB(15,38,88) #0f2658","RGB(15,38,88)",,,,"24x24 pixel art portrait, background: Grey #7d6364, hair: Grey #7d6364 and RGB(15,38,88) #0f2658, eyes: RGB(15,38,88) #0f2658"
lad_007_titanium,Male,Grey #57555a,solid,Grey #57555a and Black #0d0405,Grey and Black,"RGB(86,55,63) #56373f","RGB(86,55,63)",,,,"24x24 pixel art portrait, background: Grey #57555a, hair: Grey #57555a and Black #0d0405, eyes: RGB(86,55,63) #56373f"
lad_008_platinum,Male,Blue #156af8 to Beige #fcc084 to Pink #d0f9f3,pattern,Black #140b0c and Burgundy #af3a30,Black and Burgundy,Grey #94908d,Grey,White chef hat #FFFFFF,White chef hat,,"24x24 pixel art portrait, background: Blue #156af8 to Beige #fcc084 to Pink #d0f9f3, hair: Black #140b0c and Burgundy #af3a30, eyes: Grey #94908d, wearing White chef hat #FFFFFF"
lad_009_steel,Male,Blue #6072ff,solid,"Blue #6072ff and RGB(56,51,47) #38332f","Blue and RGB(56,51,47)","RGB(172,172,172) #acacac","RGB(172,172,172)",,,,"24x24 pixel art portrait, background: Blue #6072ff, hair: Blue #6072ff and RGB(56,51,47) #38332f, eyes: RGB(172,172,172) #acacac"
lad_010_aluminum,Male,Teal #3bb8ff,solid,Teal #3bb8ff and Red #d30707,Teal and Red,"RGB(172,172,172) #acacac","RGB(172,172,172)",,,,"24x24 pixel art portrait, background: Teal #3bb8ff, hair: Teal #3bb8ff and Red #d30707, eyes: RGB(172,172,172) #acacac"
