filename,hair_color,hair_hex,eyes_color,eyes_hex,skin_tone,skin_hex,lips_hex,background_hex,clothing_hex,has_sunglasses,has_glasses,has_hat,has_facial_hair
lad_001_carbon.png,,#c06148, dark brown,#b27f60, medium,#b27f60,#b27f60,#c06148,#000000,False,False,True,False
lad_002_cash.png, explain george washingtons,#6ae745,,#bdd5c5,medium pale green tone sfor,#000000,#bdd5c5,#6ae745,#000000,True,False,False,False
lad_003_chai.png, no,#e3b68d, dark reddish brown,#f7f3e7, medium indian male,#a06e5d,#a06e5d,#e3b68d,#a06e5d,False,False,True,False
lad_004_silicon.png,,#bababa,,#bbbbbb,,#bbbbbb,#bbbbbb,#bababa,#bbbbbb,False,False,True,False
lad_005_copper.png, his,#876f66, dark to medium brown,#c4ae85, medium skin tone light,#c4ae85,#c4ae85,#876f66,#1e0f09,False,False,True,True
lad_006_redshift.png, dirty blonde small mohawk to go with buzzed,#7d6364, deep blue palish medium dark blue,#f5c4a3, light,#f5c4a3,#efaa89,#7d6364,#081355,False,False,True,True
lad_007_titanium.png, but overall face framing longer,#57555a,,#f2baad, light,#f2baad,#d3a8a0,#57555a,#d3a8a0,False,False,False,True
lad_008_platinum.png, buzszzed hair o nleft side and long side swept,#d0f9f3, dual colored,#94908d, light,#e4b9a6,#696160,#d0f9f3,#696160,False,False,False,True
lad_009_steel.png,a bit balding but had,#6072ff, light medium brownish red,#acacac, medium to light,#acacac,#deaf99,#6072ff,#deaf99,False,True,False,True
lad_010_aluminum.png,,#3bb8ff, light medium brownish red,#acacac, medium to light,#acacac,#deaf99,#3bb8ff,#ff8b4b,False,True,True,True
lad_011_chocolate.png,,#f2f1d4, light honey brown,#cf917b, medium,#cf917b,#74584a,#f2f1d4,#000000,False,False,False,True
lad_012_chromium.png,imagine sam altman  describe him as yo uwould here especially his,#ebe6ea,,#cdc2c8,  hiis classic light grey stubble and even light grey,#cdc2c8,#cdc2c8,#ebe6ea,#beb1b8,False,False,False,True
lad_013_caramel.png, black,#1c467e, dark brown,#030500, semi dark,#a5905b,#a5905b,#1c467e,#a5905b,False,False,False,False
lad_014_sugar.png, dark reddish dark brown ashy,#0153fd,,#f6c1b3, light,#f6c1b3,#f6c1b3,#0153fd,#f6c1b3,False,False,False,False
lad_015_jackson.png, explain thomas jeffersons,#6ae745,,#000000,medium pale green tone sfor,#000000,#ddd9d0,#6ae745,#ddd9d0,True,False,False,False
lad_016_tungsten.png, explain benjamin frankjlins,#6ae745,,#000000,medium pale green tone sfor,#000000,#c5c8b7,#6ae745,#c5c8b7,True,False,False,False
lad_017_ink.png, explain john adams,#6ae745,,#000000, light pale green tone sfor,#000000,#d0d5ce,#6ae745,#272928,True,False,False,False
lad_018_mandarin.png, light skin with whit efacial,#c2e19e, black glasses rimme with light to medium brown pale,#1a1a20, light,#fec09c,#fec09c,#c2e19e,#000000,False,True,True,False
lad_019_diamond.png,if you could explain vitalik buterin,#05db73, light opale sdeafom green blue,#eac9b8,,#eac9b8,#d1b4a6,#18d788,#0eac93,False,False,True,False
lad_020_gpu.png, dirty blodne to sandy medium warmer blodner,#93ac92, mediu mto light brown,#e3bc9f,heavier set wider jaw light,#e3bc9f,#e3bc9f,#93ac92,#e3bc9f,False,False,True,False
lad_021_x.png, light medium brown,#1f3040, medium to light to dark brown,#1f3040, light stubble and light,#f4d0c2,#f4d0c2,#94eb9d,#1f1f1f,False,False,True,True
lad_022_x.png, goatee facial,#14c833,,#d98e66,bald hispanic medium,#d98e66,#d98e66,#14c833,#d98e66,False,True,False,True
lad_023_x-2.png,,#6ed7db, dark brown,#fab8a5,asian male light,#fab8a5,#fab8a5,#6ed7db,#fab8a5,False,False,True,False
lad_023_x-3.png,,#6ed7db, dark brown,#fab8a5,asian male light,#fab8a5,#fab8a5,#6ed7db,#fab8a5,False,False,True,False
lad_023_x-4.png,,#47d35f, dark brown,#fab8a5,asian male light,#fab8a5,#fab8a5,#6ed7db,#fab8a5,False,False,True,False
lad_023_x.png,,#6ed7db, dark brown,#fab8a5,asian male light,#fab8a5,#fab8a5,#6ed7db,#fab8a5,False,False,False,False
lad_024_x.png,,#220796,,#280114, medium black,#cd8658,#4a1f03,#220796,#4a1f03,True,True,True,True
lad_025_x.png,,#c2bbcd, medium dark brown,#cd8658, medium black,#cd8658,#4a1f03,#c2bbcd,#4a1f03,False,False,True,True
lad_026_chromiumabstractsalmon.png,imagine sam altman  describe him as yo uwould here especially his,#3ffe9e,,#cdc2c8,  hiis classic light grey stubble and even light grey,#cdc2c8,#cdc2c8,#3ffe9e,#beb1b8,False,False,False,True
lad_027_chromiumabstractyellow.png,imagine sam altman  describe him as yo uwould here especially his,#3ffe9e,,#cdc2c8,  hiis classic light grey stubble and even light grey,#cdc2c8,#cdc2c8,#3ffe9e,#beb1b8,False,False,False,True
lad_028_chromiumabstractgreen.png,imagine sam altman  describe him as yo uwould here especially his,#3ffe9e,,#cdc2c8,  hiis classic light grey stubble and even light grey,#cdc2c8,#cdc2c8,#3ffe9e,#beb1b8,False,False,False,True
lad_029_famous-9.png, dark brown well styled and cut,#1831cf,,#9bd77f, light,#ecc19f,#a08d79,#1831cf,#a08d79,False,True,True,True
lad_029_famous4.png, dark brown well styled and cut,#f0d785,glowing green laser,#ecc19f, light,#ecc19f,#ecc19f,#ead582,#f9a33b,False,False,True,True
lad_030_ink.png, and facial,#5e5c5f, deep blackish purplish,#8e543c,medium,#8e543c,#36312b,#5e5c5f,#36312b,False,False,False,True
lad_031_fin.png, blackish dark brownish semi curly wavy,#051e09, duo tone silver rimmed glasses and medium to dark brown,#1b1a20,light,#dcbeb6,#dcbeb6,#051e09,#671e20,False,True,True,False
